# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.01777e-06 to 20.5825 h/Mpc,
# number of wavenumbers equal to 855
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ddec[0]              7:d_tot                  8:phi                    9:psi                
       4.897887482858e-03       4.698397530813e-01      -2.503505225037e+02      -2.504285034425e+02       4.731242754637e-01       1.227283247441e+00      -2.503313434506e+02       3.752788580229e-01       3.752788578996e-01 
       5.004682301321e-03       4.680747223658e-01      -2.604032463657e+02      -2.604868792616e+02       4.713469088276e-01       8.025119608361e-01      -2.603854418275e+02       3.738695413832e-01       3.738695409787e-01 
       5.111661970888e-03       4.663109555970e-01      -2.706294049501e+02      -2.707190168076e+02       4.695708148846e-01       2.126767032186e-01      -2.706131979634e+02       3.724612333572e-01       3.724612329239e-01 
       5.218816395059e-03       4.645488543446e-01      -2.810265207730e+02      -2.811224500421e+02       4.677963976139e-01      -2.721682938967e-01      -2.810121339139e+02       3.710541925440e-01       3.710541923350e-01 
       5.326136209784e-03       4.627887645702e-01      -2.915921289260e+02      -2.916947228840e+02       4.660240051663e-01      -4.286568584660e-01      -2.915797839921e+02       3.696486568189e-01       3.696486569743e-01 
       5.433612722403e-03       4.610310512323e-01      -3.023238349732e+02      -3.024334463933e+02       4.642540050906e-01      -1.839646831710e-01      -3.023137562469e+02       3.682449193012e-01       3.682449197891e-01 
       5.541237856288e-03       4.592759302139e-01      -3.132192020618e+02      -3.133361938962e+02       4.624866150692e-01       3.492668618746e-01      -3.132116277615e+02       3.668431927487e-01       3.668431933858e-01 
       5.649004100628e-03       4.575235859532e-01      -3.242758099354e+02      -3.244005537079e+02       4.607220212124e-01       9.240256932321e-01      -3.242709962926e+02       3.654436802705e-01       3.654436808103e-01 
       5.756904464843e-03       4.557742395227e-01      -3.354912823587e+02      -3.356241612291e+02       4.589604464394e-01       1.273130774385e+00      -3.354895069947e+02       3.640466039321e-01       3.640466041794e-01 
       5.864932437163e-03       4.540281085481e-01      -3.468632532398e+02      -3.470046623582e+02       4.572021100092e-01       1.233756712884e+00      -3.468648112405e+02       3.626521559094e-01       3.626521558077e-01 
       5.973081946959e-03       4.522854140910e-01      -3.583893615033e+02      -3.585397106416e+02       4.554472343945e-01       8.238534981039e-01      -3.583945603199e+02       3.612604949248e-01       3.612604945769e-01 
       6.081347330465e-03       4.505463479115e-01      -3.700672304877e+02      -3.702269486097e+02       4.536960123982e-01       2.344357852331e-01      -3.700763867859e+02       3.598717317402e-01       3.598717313562e-01 
       6.189723299550e-03       4.488111985183e-01      -3.818945965690e+02      -3.820641251311e+02       4.519487342312e-01      -2.595385471689e-01      -3.819080271637e+02       3.584860509177e-01       3.584860507148e-01 
       6.298204913243e-03       4.470800470773e-01      -3.938690566327e+02      -3.940488620810e+02       4.502054814239e-01      -4.277961116341e-01      -3.938870908496e+02       3.571034876511e-01       3.571034877538e-01 
       6.406787551753e-03       4.453530955015e-01      -4.059883725999e+02      -4.061789343793e+02       4.484664573090e-01      -1.929142575741e-01      -4.060113483188e+02       3.557242042318e-01       3.557242046185e-01 
       6.515466892733e-03       4.436305182425e-01      -4.182503395376e+02      -4.184521483553e+02       4.467318377334e-01       3.331768157294e-01      -4.182786093782e+02       3.543483658160e-01       3.543483663336e-01 
       6.624238889588e-03       4.419122960737e-01      -4.306526050780e+02      -4.308661737042e+02       4.450016036128e-01       9.020622143015e-01      -4.306865510500e+02       3.529759980781e-01       3.529759985175e-01 
       6.733099751614e-03       4.401985284716e-01      -4.431929552081e+02      -4.434188068540e+02       4.432758553635e-01       1.245808823738e+00      -4.432329796822e+02       3.516072165166e-01       3.516072167113e-01 
       6.842045925821e-03       4.384893173152e-01      -4.558691872947e+02      -4.561078549984e+02       4.415546956806e-01       1.203322128598e+00      -4.559157081620e+02       3.502421174950e-01       3.502421173965e-01 
       6.951074080257e-03       4.367847412532e-01      -4.686790741122e+02      -4.689311039052e+02       4.398382036982e-01       7.961215862535e-01      -4.687325200703e+02       3.488807534906e-01       3.488807531864e-01 
       7.060181088721e-03       4.350850008028e-01      -4.816205346455e+02      -4.818864769589e+02       4.381265811463e-01       2.175283593638e-01      -4.816813309766e+02       3.475232552589e-01       3.475232549278e-01 
       7.169364016712e-03       4.333900877688e-01      -4.946912732939e+02      -4.949716969591e+02       4.364198195567e-01      -2.592508795922e-01      -4.947598504780e+02       3.461695829750e-01       3.461695828004e-01 
